SENDER_ID	SITE_ID	AGENCY	SITE_NAME	DIRECTORY_PATH	SUB_DIRECTORY_PATH
OHLICKPR	36001	263	OH_OHSTATE	project\vine\oh\ohstate	ohlickingpr
OHMERCPR	36001	272	OH_OHSTATE	project\vine\oh\ohstate	ohmercerpr
OHMUSKPR	36001	278	OH_OHSTATE	project\vine\oh\ohstate	ohmuskingumpr
OHHENRJA	36001	169	OH_OHSTATE	project\vine\oh\ohstate	
OHHIGHLANDJA	36001	170	OH_OHSTATE	project\vine\oh\ohstate	ohhighlandja
OHHOCKJA	36001	171	OH_OHSTATE	project\vine\oh\ohstate	ohhockingja
OHHURONJA	36001	173	OH_OHSTATE	project\vine\oh\ohstate	ohhuronja
OHJACKSONJA	36001	174	OH_OHSTATE	project\vine\oh\ohstate	ohjacksonja
OHLAKEJA	36001	177	OH_OHSTATE	project\vine\oh\ohstate	ohlakeja
OHLAWRENCEJA	36001	178	OH_OHSTATE	project\vine\oh\ohstate	ohlawrenceja
OHLOGANJA	36001	180	OH_OHSTATE	project\vine\oh\ohstate	ohloganja
OHLORAINJA	36001	181	OH_OHSTATE	project\vine\oh\ohstate	ohlorainja
OHMADIJA	36001	183	OH_OHSTATE	project\vine\oh\ohstate	ohmadisonja
CODENVERJA	6001	1	CO_DENVER	project\vine\co\codenverja	
OHPUTNPR	36001	286	OH_OHSTATE	project\vine\oh\ohstate	ohputnampr
NECHASEJA	28000	131	NE_NESTATE	project\vine\ne\nestate	nechaseja
NECHEYENNEJA	28000	143	NE_NESTATE	project\vine\ne\nestate	necheyenneja
NEDAWESJA	28000	182	NE_NESTATE	project\vine\ne\nestate	nedawesja
NEDEUEJA	28000	199	NE_NESTATE	project\vine\ne\nestate	
NEGARDENJA	28000	304	NE_NESTATE	project\vine\ne\nestate	negardenja
NEKEITHJA	28000	383	NE_NESTATE	project\vine\ne\nestate	nekeithja
NEKIMBALLJA	28000	391	NE_NESTATE	project\vine\ne\nestate	nekimballja
NESCOTTSBLUFFJA	28000	594	NE_NESTATE	project\vine\ne\nestate	nescottsbluffja
NESHERIDANJA	28000	618	NE_NESTATE	project\vine\ne\nestate	nesheridanja
USDB	60001	1	FEDERAL_USDB	federal\usdb	
CASUTTERJA	5012	1	CA_SUTTER	project\vine\ca\casutterja	
CALOSANGELESJA	5010	1	CA_LOSANGELES	project\vine\ca\calosangelesja	
CABUTTEJA	5099	25	CA_MULTICO	project\vine\ca\multico	cabutteja
CAMONTEREY	5099	61	CA_MULTICO	project\vine\ca\multico	camontereyja
ARBENTONPR	4999	10	AR_ARSTATE	project\vine\ar\arstate	arbentonpr
ARBOONEJA	4999	11	AR_ARSTATE	project\vine\ar\arstate	arbooneja
ARBOONEPR	4999	12	AR_ARSTATE	project\vine\ar\arstate	arboonepr
ARBRADLEYJA	4999	13	AR_ARSTATE	project\vine\ar\arstate	arbradleyja
ARBRADLEYPR	4999	14	AR_ARSTATE	project\vine\ar\arstate	
ARCARROLLJA	4999	17	AR_ARSTATE	project\vine\ar\arstate	arcarrollja
ARCARROLLPR	4999	18	AR_ARSTATE	project\vine\ar\arstate	
AR034005C	4999	201	AR_ARSTATE	project\vine\ar\arstate	
ARARKANSASJA	4999	1	AR_ARSTATE	project\vine\ar\arstate	ararkansasja
ARASHLEYJA	4999	4	AR_ARSTATE	project\vine\ar\arstate	arashleyja
ARASHLEYPR	4999	5	AR_ARSTATE	project\vine\ar\arstate	arashleypr
ARBAXTERPR	4999	7	AR_ARSTATE	project\vine\ar\arstate	arbaxterpr
ARBENTONJA	4999	9	AR_ARSTATE	project\vine\ar\arstate	arbentonja
ARCHICOTJA	4999	20	AR_ARSTATE	project\vine\ar\arstate	archicotja
ARCHICOTPR	4999	21	AR_ARSTATE	project\vine\ar\arstate	
